Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_707.jpg;0;1;0;3.941084;106.9796;94.09638;1.07818;35.33388;359.7478
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_757.jpg;0;1;0;3.978359;107.1726;94.2352;1.018457;35.21914;359.7014
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_806.jpg;0;1;0;4.003172;107.3025;94.32841;0.9906;35.20445;359.6828
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_856.jpg;0;1;0;4.040133;107.4995;94.46932;0.9737731;35.21276;359.668
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_906.jpg;0;1;0;4.064118;107.6319;94.56409;0.9741349;35.23027;359.6732
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_45_956.jpg;-1.499602;1;0;4.10128;107.8326;94.70719;0.9970129;35.21467;359.689
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_007.jpg;-3.752322;1;0;4.12555;107.9682;94.80244;1.018552;35.05053;359.6923
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_056.jpg;-6.000534;1;0;4.161124;108.1742;94.94421;1.0408;34.50972;359.6844
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_106.jpg;-6.727028;1;0;4.184365;108.3133;95.03745;1.03437;33.94001;359.6715
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_156.jpg;-4.4795;1;0;4.22173;108.5244;95.17624;0.99896;33.07731;359.6559
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_206.jpg;-2.228943;1;0;4.246324;108.6667;95.26857;0.9722953;32.65029;359.6472
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_256.jpg;0;1;0;4.28352;108.8824;95.40747;0.9435096;32.29709;359.639
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_307.jpg;0;1;0;4.307382;109.0276;95.50054;0.9413908;32.21224;359.6336
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_356.jpg;0;1;0;4.343291;109.2473;95.64101;0.9489651;32.1797;359.6446
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_406.jpg;0;1;0;4.367223;109.3951;95.73524;0.9665855;32.18209;359.6593
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_456.jpg;0;1;0;4.402707;109.6187;95.87763;1.014208;32.20339;359.6908
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_506.jpg;0;1;0;4.426312;109.7688;95.97333;1.054872;32.22585;359.723
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_556.jpg;0;1;0;4.461829;109.9957;96.118;1.129402;32.2599;359.7838
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_606.jpg;-0.7489789;1;0;4.485295;110.1481;96.21513;1.188558;32.27343;359.828
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_656.jpg;-2.999537;1;0;4.520373;110.379;96.36095;1.285661;32.14171;359.8805
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_706.jpg;-5.25584;1;0;4.543203;110.5343;96.4576;1.341633;31.87344;359.9054
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_756.jpg;-4.493541;1;0;4.578466;110.7696;96.60139;1.39528;31.25069;359.9374
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_806.jpg;-2.249893;1;0;4.602755;110.9277;96.69715;1.415978;30.8893;359.9656
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_856.jpg;-3.352761E-07;1;0;4.638596;111.1669;96.84106;1.455808;30.57972;359.9942
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_906.jpg;0;1;0;4.661901;111.3276;96.93714;1.481043;30.49713;359.9942
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_46_956.jpg;0;1;0;4.697032;111.5701;97.08157;1.49538;30.44373;-0.005329469
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_47_006.jpg;0;1;0;4.721245;111.7329;97.17807;1.498914;30.4286;-0.005165017
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_47_056.jpg;0;1;0;4.756539;111.9788;97.32329;1.500018;30.41549;-0.00449479
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_47_106.jpg;0;1;0;4.779742;112.1439;97.42049;1.503052;30.41193;-0.004376241
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_47_156.jpg;0;1;0;4.814525;112.3932;97.56691;1.504448;30.40285;-0.003639131
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_47_206.jpg;0;1;0;4.837869;112.5604;97.66489;1.502931;30.39331;-0.00313699
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_47_256.jpg;0;1;0;4.872252;112.8131;97.81255;1.508063;30.37822;-0.002871328
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_47_306.jpg;0;1;0;4.895102;112.9826;97.91144;1.512787;30.36485;-0.002582605
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_47_356.jpg;-0.7499951;1;0;4.929809;113.2384;98.06026;1.512196;30.32568;-0.001665545
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_47_406.jpg;-3.002567;1;0;4.952546;113.4104;98.15945;1.515363;30.20687;-0.001112162
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_47_456.jpg;-5.250446;1;0;4.986601;113.6706;98.3075;1.514889;29.80401;-0.0001711347
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_47_506.jpg;-4.486761;1;0;5.008972;113.8455;98.4056;1.516369;29.42994;-0.000557229
